"Parent2Name","Parent1Name","Now_Parent1Reference","CustomerName","Now_Reference","ComputerName","DeviceName","DeviceId","Now_Product.OsType","Now_Physicality","PhysicalServer","VirtualServer","Workstation","Documents","RecoveryTesting","O365Users","CustomerState","CreationDate","ProductionDate","DeviceDeletionDate","SelectedSizeGb","UsedStorageGb"
,"Cubics","CUB","Sofa B.V.","SOF","SOF-HKA-DC","sof-hka-dc_bxjcs","3386019",,"Virtual",,"1",,,,,"InProduction","10/28/2020 12:00:00 AM","11/28/2020 12:00:00 AM","","704.07","2348.49"
,"Cubics","CUB","Sofa B.V.","SOF","* M365 - sofabvnl.onmicrosoft.com","sofabvnl.onmicrosoft.com","3452619",,"Cloud",,,,,,"69","InProduction","1/14/2021 12:00:00 AM","11/28/2020 12:00:00 AM","","981","925"
,"Cubics","CUB","Sofa B.V.",,"SOF-HKA-APP03","sof-hka-app03_t4uzk","3483657",,"Virtual",,"1",,,,,"InProduction","2/18/2021 12:00:00 AM","11/28/2020 12:00:00 AM","12/22/2022 12:00:00 AM","56.51","63.01"
,"Cubics","CUB","Notenboom","NOT","NOT-EHV-FS01","not-ehv-fs01","3412909",,"Physical","1",,,,,,"InProduction","11/25/2020 12:00:00 AM","12/26/2020 12:00:00 AM","","1199.1","731.94"
,"Cubics","CUB","Notenboom","NOT","NOT-EHV-HYP003","not-ehv-hyp003","3415427",,"Physical","1",,,,,,"InProduction","11/30/2020 12:00:00 AM","12/26/2020 12:00:00 AM","","2004.83","15437.39"
,"Cubics","CUB","Smart Mattress Company","","* M365 - smartmattresscompany.onmicrosoft.com","smartmattresscompany.onmicrosoft.com","3434956",,"Cloud",,,,,,"3","InProduction","12/22/2020 12:00:00 AM","12/22/2020 12:00:00 AM","","0.13","0.16"
,"Cubics","CUB","Silver Bullet Investments BV","","* M365 - silverbulletnl.onmicrosoft.com","silverbulletnl.onmicrosoft.com","3450594",,"Cloud",,,,,,"5","InProduction","1/13/2021 12:00:00 AM","2/13/2021 12:00:00 AM","","64.75","50.57"
,"Cubics","CUB","IDEN Architecten","","* M365 - ideneu.onmicrosoft.com","ideneu.onmicrosoft.com","3452631",,"Cloud",,,,,,"1","InProduction","1/14/2021 12:00:00 AM","1/14/2021 12:00:00 AM","","14.4","14.06"
,"Cubics","CUB","Echt Marketing en Communicatie","","ECH-HKA-DC01","ech-hka-dc01","3592358",,"Virtual",,"1",,,,,"InProduction","6/17/2021 12:00:00 AM","7/18/2021 12:00:00 AM","","4315.27","2922.09"
,"Cubics","CUB","eLEAF BV","","ELE-HKA-HYP001","ele-hka-hyp001_4c1fb","3654512",,"Physical","1",,,,,,"InProduction","8/31/2021 12:00:00 AM","8/31/2021 12:00:00 AM","","265.36","893.89"
,"Cubics","CUB","Cubics IT Tilburg B.V.","","CUB-PBX-3CX","cub-pbx-3cx","3811155",,"Virtual",,"1",,,,,"InProduction","2/10/2022 12:00:00 AM","3/12/2022 12:00:00 AM","","69.71","45.32"
,"Cubics","CUB","Cubics IT Tilburg B.V.","","CUB-TFTP01","cub-tftp01_cvpki","4029037",,"Virtual",,"1",,,,,"InProduction","9/5/2022 12:00:00 AM","3/12/2022 12:00:00 AM","","40.01","24.13"
,"Cubics","CUB","Cubics IT Tilburg B.V.","","* M365 - havl.onmicrosoft.com","havl.onmicrosoft.com","4102215",,"Cloud",,,,,,"97","InProduction","11/11/2022 12:00:00 AM","3/12/2022 12:00:00 AM","","840.5","564.81"
